PLAZA,CR TIENDA,DESC_TIENDA,MONTO SIN IMPUESTOS ,MONTO CON IMPUESTOS 
10OBR Mochis,50KBS,Bosque Real LMM,50,59.25
10OBR Mochis,50KHY,Jiquilpan LMM,50,59.25
10OBR Mochis,50KMH,Sierra Bonita LMM,50,59.25
10OBR Mochis,50KNY,Centenario LMM,100,118.5
10OBR Mochis,50KOU,Alamos Country LMM,100,118.5
10OBR Mochis,50KRR,Carranza LMM,200,237
10OBR Mochis,50LDO,Ferrusquilla LMM,50,59.25
10OBR Mochis,50LNR,Virrey LMM,100,118.5
10OBR Mochis,50LWE,Flores Magon LMM,50,59.25
10OBR Mochis,50MMC,Cano LMM,50,59.25
10OBR Mochis,50MNU,Estacion Vinedos LMM,200,237
10OBR Mochis,50NOB,Prado Bonito LMM,750,888.75
10OBR Mochis,50OCE,Central LMM,100,118.5
10OBR Mochis,50OLW,Olas Altas LMM,50,59.25
10OBR Mochis,50ORD,Ordonez LMM,100,118.5
10OBR Mochis,50OSC,Anahuac LMM,50,59.25
10OBR Mochis,50OUN,Country LMM,50,59.25
10OBR Mochis,50POS,Poseidon LMM,150,177.75
10OBR Mochis,50QGP,Pedregal LMM,200,237
10OBR Mochis,50QVF,Altamirano LMM,150,177.75
10OBR Mochis,50RSS,Rosales LMM,50,59.25
10OBR Mochis,50SDW,Canuto LMM,450,533.25
10OBR Mochis,50SSF,San Francisco LMM,50,59.25
10OBR Mochis,50SSR,Rio Presidio LMM,50,59.25
10OBR Mochis,50STH,El Fuerte LMM,50,59.25
10OBR Mochis,50TI4,Centenario LMM,650,770.25
10OBR Mochis,50TLB,Topolobampo LMM,50,59.25
10OBR Mochis,50U2P,Azteca LMM,50,59.25
10OBR Mochis,50USN,Andador LMM,50,59.25
10OBR Mochis,50UWK,Independencia LMM,100,118.5
10OBR Mochis,50V5B,Maviri CEN,50,59.25
10OBR Mochis,50VDV,Alamos LMM,50,59.25
10OBR Mochis,50VJK,El Fuerte II LMM,100,118.5
10OBR Mochis,50VRT,Crucero LMM,100,118.5
10OBR Mochis,50WRG,Constancia LMM,50,59.25
10OBR Mochis,50WST,Pioneros LMM,50,59.25
10OBR Mochis,50WZN,Bicentenario LMM,150,177.75
10OBR Mochis,50XW7,Texas CEN,50,59.25
10OBR Mochis,50YGT,Hig. de Zaragoza LMM,50,59.25
10OBR Mochis,50YWR,Del Rey LMM,50,59.25
10OBR Mochis,50ZDH,Zapotitlan LMM,100,118.5
10OBR Mochis,50ZDN,Serdan LMM,50,59.25
10OBR Mochis,50ZDQ,Plazuela LMM,50,59.25
10OBR ObregonGuaymas,501R5,Aurora CEN,50,59.25
10OBR ObregonGuaymas,50490,Salida Bacum CEN,50,59.25
10OBR ObregonGuaymas,504ZZ,El pueblito CEN,50,59.25
10OBR ObregonGuaymas,505TJ,Santa Anita CEN,150,177.75
10OBR ObregonGuaymas,5062C,Gaseem CEN,450,533.25
10OBR ObregonGuaymas,506QM,Cedros CEN,50,59.25
10OBR ObregonGuaymas,507XE,Mustang CEN,50,59.25
10OBR ObregonGuaymas,508DO,Irvilu CEN,100,118.5
10OBR ObregonGuaymas,508KD,Pradera Bonita CEN,50,59.25
10OBR ObregonGuaymas,508VC,Garcia CEN,150,177.75
10OBR ObregonGuaymas,5091Q,Caseta Guaymas CEN,150,177.75
10OBR ObregonGuaymas,50ABW,Amberes CEN,50,59.25
10OBR ObregonGuaymas,50B85,OXXO Ocotillo,150,177.75
10OBR ObregonGuaymas,50BCZ,Club de Golf CEN,50,59.25
10OBR ObregonGuaymas,50BLS,Casa Blanca CEN,800,948
10OBR ObregonGuaymas,50BZH,Paseo del Valle CEN,250,296.25
10OBR ObregonGuaymas,50CFA,Laguna CEN,350,414.75
10OBR ObregonGuaymas,50CFG,Villa Dorada CEN,400,474
10OBR ObregonGuaymas,50CLF,California CEN,100,118.5
10OBR ObregonGuaymas,50CNT,El CENtinela CEN,400,474
10OBR ObregonGuaymas,50D3O,Carrillo Puerto CEN,50,59.25
10OBR ObregonGuaymas,50DCF,Malec n CEN,50,59.25
10OBR ObregonGuaymas,50DHQ,Tehuantepec CEN,300,355.5
10OBR ObregonGuaymas,50DNC,Providencia CEN,100,118.5
10OBR ObregonGuaymas,50DNU,Normandia CEN,300,355.5
10OBR ObregonGuaymas,50DSU,Lomas de Cortez CEN,50,59.25
10OBR ObregonGuaymas,50DTH,Elite CEN,100,118.5
10OBR ObregonGuaymas,50DZR,Boulevard II CEN,100,118.5
10OBR ObregonGuaymas,50DZS,Diesisiete CEN,100,118.5
10OBR ObregonGuaymas,50E9X,Los Arcos CEN,100,118.5
10OBR ObregonGuaymas,50ECR,El Corsario CEN,150,177.75
10OBR ObregonGuaymas,50EMP,Empalme CEN,50,59.25
10OBR ObregonGuaymas,50FNE,Ninos Heroes CEN,50,59.25
10OBR ObregonGuaymas,50GAY,Guaymas Nte.CEN,150,177.75
10OBR ObregonGuaymas,50GCX,Conty CEN,50,59.25
10OBR ObregonGuaymas,50GL3,El Gallito CEN,50,59.25
10OBR ObregonGuaymas,50HGO,Hidalgo CEN,50,59.25
10OBR ObregonGuaymas,50HJR,6 de Abril CEN,150,177.75
10OBR ObregonGuaymas,50HPL,Las Plazas CEN,50,59.25
10OBR ObregonGuaymas,50IHC,Michoacan CEN,150,177.75
10OBR ObregonGuaymas,50IIS,Misioneros CEN,50,59.25
10OBR ObregonGuaymas,50IJN,Colonial CEN,400,474
10OBR ObregonGuaymas,50JCK,Jack CEN,100,118.5
10OBR ObregonGuaymas,50JCN,Riojas CEN,100,118.5
10OBR ObregonGuaymas,50JHU,Cocorit CEN,100,118.5
10OBR ObregonGuaymas,50JS7,De la Huerta CEN,50,59.25
10OBR ObregonGuaymas,50KAM,Alameda CEN,50,59.25
10OBR ObregonGuaymas,50KIG,Marina Real CEN,300,355.5
10OBR ObregonGuaymas,50KJD,Meridiano CEN,100,118.5
10OBR ObregonGuaymas,50KJM,Marsella CEN,50,59.25
10OBR ObregonGuaymas,50LBT,Libertad CEN,50,59.25
10OBR ObregonGuaymas,50LIF,Villa California CEN,100,118.5
10OBR ObregonGuaymas,50LVI,Las Villas CEN,350,414.75
10OBR ObregonGuaymas,50M36,Vikingo CEN,400,474
10OBR ObregonGuaymas,50M7O,Mercado CEN,300,355.5
10OBR ObregonGuaymas,50MAJ,El Sahuaral CEN,200,237
10OBR ObregonGuaymas,50MDK,Moderna CEN,100,118.5
10OBR ObregonGuaymas,50MJE,Madero CEN,50,59.25
10OBR ObregonGuaymas,50MKT,Cananea II CEN,200,237
10OBR ObregonGuaymas,50NDU,Industriales CEN,300,355.5
10OBR ObregonGuaymas,50NIF,Petrolera CEN,100,118.5
10OBR ObregonGuaymas,50NSQ,Ladrillera CEN,250,296.25
10OBR ObregonGuaymas,50NUP,Echeverria CEN,50,59.25
10OBR ObregonGuaymas,50NZT,Nacozari CEN,100,118.5
10OBR ObregonGuaymas,50OCT,Cincuentenario CEN,150,177.75
10OBR ObregonGuaymas,50OEA,Esperanza CEN,100,118.5
10OBR ObregonGuaymas,50OVI,Bella Vista CEN,50,59.25
10OBR ObregonGuaymas,50OZC,Central CEN,100,118.5
10OBR ObregonGuaymas,50PDC,Nueva Esperanza CEN,50,59.25
10OBR ObregonGuaymas,50PYI,Playitas CEN,100,118.5
10OBR ObregonGuaymas,50QMB,Capistrano CEN,50,59.25
10OBR ObregonGuaymas,50QMQ,Maquila CEN,50,59.25
10OBR ObregonGuaymas,50QNB,Camionera CEN,100,118.5
10OBR ObregonGuaymas,50QOR,Quintana Roo CEN,150,177.75
10OBR ObregonGuaymas,50QU2,Perla Marina CEN,150,177.75
10OBR ObregonGuaymas,50QXC,Faustino CEN,150,177.75
10OBR ObregonGuaymas,50RTW,Rotonda CEN,100,118.5
10OBR ObregonGuaymas,50SAO,Estadio CEN,250,296.25
10OBR ObregonGuaymas,50SHP,Antonio Caso CEN,150,177.75
10OBR ObregonGuaymas,50SVK,San Vicente CEN,50,59.25
10OBR ObregonGuaymas,50T0E,Flavio Borquez CEN,50,59.25
10OBR ObregonGuaymas,50T7D,Oriente CEN,100,118.5
10OBR ObregonGuaymas,50TBD,Taboada CEN,200,237
10OBR ObregonGuaymas,50TGZ,Seiscientos CEN,50,59.25
10OBR ObregonGuaymas,50THZ,Trece CEN,50,59.25
10OBR ObregonGuaymas,50TN4,Campo 5 CEN,100,118.5
10OBR ObregonGuaymas,50TOI,Otancahui CEN,50,59.25
10OBR ObregonGuaymas,50UEC,San German CEN,50,59.25
10OBR ObregonGuaymas,50UIV,Villas del Real CEN,50,59.25
10OBR ObregonGuaymas,50UIX,La Atravesada CEN,450,533.25
10OBR ObregonGuaymas,50UQI,Garcia Lopez CEN,100,118.5
10OBR ObregonGuaymas,50UWQ,Santa Clara CEN,400,474
10OBR ObregonGuaymas,50VBO,Villa Bonita CEN,350,414.75
10OBR ObregonGuaymas,50VKI,Vicam II CEN,100,118.5
10OBR ObregonGuaymas,50VMB,Piedron CEN,50,59.25
10OBR ObregonGuaymas,50VVU,Mar del Norte CEN,50,59.25
10OBR ObregonGuaymas,50VW3,Aves CEN,50,59.25
10OBR ObregonGuaymas,50VWA,La Iguana CEN,50,59.25
10OBR ObregonGuaymas,50VXH,Tamaulipas CEN,50,59.25
10OBR ObregonGuaymas,50W38,Mexico 15 CEN,50,59.25
10OBR ObregonGuaymas,50X9Z,Algodones CEN,150,177.75
10OBR ObregonGuaymas,50XAR,Varadero CEN,50,59.25
10OBR ObregonGuaymas,50XSZ,Libramiento CEN,50,59.25
10OBR ObregonGuaymas,50XZQ,Centro Civico CEN,100,118.5
10OBR ObregonGuaymas,50Y97,El Valiente CEN,700,829.5
10OBR ObregonGuaymas,50YAR,Los Arrieros CEN,50,59.25
10OBR ObregonGuaymas,50YDE,Delicias CEN,100,118.5
10OBR ObregonGuaymas,50YLN,Quinta Diaz CEN,100,118.5
10OBR ObregonGuaymas,50YMG,Guaymas CEN,50,59.25
10OBR ObregonGuaymas,50YMI,Miramar CEN,500,592.5
10OBR ObregonGuaymas,50YMY,SanJosedeBacumII CEN,50,59.25
10OBR ObregonGuaymas,50YRL,San Carlos CEN,250,296.25
10OBR ObregonGuaymas,50YTS,Villa Itson CEN,50,59.25
10OBR ObregonGuaymas,50YWF,Mar Caribe CEN,150,177.75
10OBR ObregonGuaymas,50YYC,Jordan CEN,150,177.75
10OBR ObregonGuaymas,50Z2T,Calle 10 CEN,50,59.25
10OBR ObregonGuaymas,50Z7H,Nueva Espana CEN,50,59.25
10OBR ObregonGuaymas,50ZYG,Campos CEN,100,118.5
10OBR ObregonNavojoa,500T6,Agustin Lara CEN,100,118.5
10OBR ObregonNavojoa,500VH,Los Silos CEN,150,177.75
10OBR ObregonNavojoa,501IN,Villas del Trigo CEN,100,118.5
10OBR ObregonNavojoa,501PX,Revolucion CEN,50,59.25
10OBR ObregonNavojoa,502NZ,Lazaro CEN,50,59.25
10OBR ObregonNavojoa,502OI,Yavaros CEN,50,59.25
10OBR ObregonNavojoa,50426,Valle del Sol CEN,50,59.25
10OBR ObregonNavojoa,505KZ,Dieciseis CEN,50,59.25
10OBR ObregonNavojoa,507X3,Karam CEN,100,118.5
10OBR ObregonNavojoa,50CNP,Campanario CEN,200,237
10OBR ObregonNavojoa,50DHX,Emiliano CEN,100,118.5
10OBR ObregonNavojoa,50DPT,TOLEDO CEN,50,59.25
10OBR ObregonNavojoa,50E8Y,Pueblo Nuevo CEN,50,59.25
10OBR ObregonNavojoa,50ERE,Coahuila CEN,100,118.5
10OBR ObregonNavojoa,50FAB,Rotario CEN,100,118.5
10OBR ObregonNavojoa,50FEB,5 de Febrero CEN,100,118.5
10OBR ObregonNavojoa,50HBS,Chavez CEN,100,118.5
10OBR ObregonNavojoa,50HLU,200 CEN,50,59.25
10OBR ObregonNavojoa,50HTB,Huatabampo CEN,50,59.25
10OBR ObregonNavojoa,50HWE,Escobedo CEN,50,59.25
10OBR ObregonNavojoa,50IAC,Veracruz CEN,50,59.25
10OBR ObregonNavojoa,50IAE,Serviaeropuerto CEN,100,118.5
10OBR ObregonNavojoa,50IZ0,Plaza Sinaloa CEN,200,237
10OBR ObregonNavojoa,50J41,Mision del Prado CEN,250,296.25
10OBR ObregonNavojoa,50J4N,Mas CEN,100,118.5
10OBR ObregonNavojoa,50JMQ,Los Monjes CEN,100,118.5
10OBR ObregonNavojoa,50JQO,Jalisco CEN,200,237
10OBR ObregonNavojoa,50JTI,Bravo CEN,50,59.25
10OBR ObregonNavojoa,50JWO,Palo Verde CEN,100,118.5
10OBR ObregonNavojoa,50KDL,Catedral CEN,50,59.25
10OBR ObregonNavojoa,50LT2,OXXO Pestalozi,150,177.75
10OBR ObregonNavojoa,50LWI,Amado Nervo CEN,50,59.25
10OBR ObregonNavojoa,50MYD,Mexico CEN,50,59.25
10OBR ObregonNavojoa,50N65,Garcia Morales CEN,50,59.25
10OBR ObregonNavojoa,50NFU,Santa Patricia CEN,50,59.25
10OBR ObregonNavojoa,50NIY,Rio Mayo CEN,100,118.5
10OBR ObregonNavojoa,50NOR,Sonora CEN,50,59.25
10OBR ObregonNavojoa,50NPG,Calzada CEN,50,59.25
10OBR ObregonNavojoa,50NQO,Nuevo Leon CEN,50,59.25
10OBR ObregonNavojoa,50NR7,Matias CEN,100,118.5
10OBR ObregonNavojoa,50NSM,14 de Enero CEN,350,414.75
10OBR ObregonNavojoa,50O06,Glorieta CEN,200,237
10OBR ObregonNavojoa,50O5R,Maria Felix CEN,50,59.25
10OBR ObregonNavojoa,50OIK,Norte CEN,50,59.25
10OBR ObregonNavojoa,50OIM,1O. de Mayo CEN,150,177.75
10OBR ObregonNavojoa,50ONG,Oro Negro CEN,50,59.25
10OBR ObregonNavojoa,50PEX,San Rafael CEN,50,59.25
10OBR ObregonNavojoa,50PGO,Progreso CEN,50,59.25
10OBR ObregonNavojoa,50PHC,Estacion Don CEN,50,59.25
10OBR ObregonNavojoa,50PXY,Primavera CEN,200,237
10OBR ObregonNavojoa,50QHB,Progresista CEN,50,59.25
10OBR ObregonNavojoa,50QSR,Chihuaha CEN,50,59.25
10OBR ObregonNavojoa,50QXP,Barrera CEN,100,118.5
10OBR ObregonNavojoa,50RS0,OXXO Turquesa CEN,100,118.5
10OBR ObregonNavojoa,50RWM,Marte R. Gomez CEN,300,355.5
10OBR ObregonNavojoa,50RYP,Yaqui CEN,150,177.75
10OBR ObregonNavojoa,50SEH,Paseo Las Palmas CEN,200,237
10OBR ObregonNavojoa,50SMP,Las Misiones CEN,100,118.5
10OBR ObregonNavojoa,50SWK,Salvatierra CEN,50,59.25
10OBR ObregonNavojoa,50TQC,CTM CEN,50,59.25
10OBR ObregonNavojoa,50TXF,Tobarito CEN,100,118.5
10OBR ObregonNavojoa,50UBG,Hermosillo CEN,50,59.25
10OBR ObregonNavojoa,50UFI,Colonos CEN,50,59.25
10OBR ObregonNavojoa,50UNN,Agua Prieta CEN,50,59.25
10OBR ObregonNavojoa,50UNU,Union CEN,50,59.25
10OBR ObregonNavojoa,50UQP,Palacio CEN,100,118.5
10OBR ObregonNavojoa,50UUH,Fabula CEN,350,414.75
10OBR ObregonNavojoa,50UVN,Humaya CEN,50,59.25
10OBR ObregonNavojoa,50UZD,Periferico Norte CEN,200,237
10OBR ObregonNavojoa,50VHT,Aviacion CEN,50,59.25
10OBR ObregonNavojoa,50VJZ,Villa Juarez CEN,50,59.25
10OBR ObregonNavojoa,50VPI,Andalucia CEN,200,237
10OBR ObregonNavojoa,50X6Q,Caseta Estacion Don CEN,50,59.25
10OBR ObregonNavojoa,50XIS,Mision del Sol CEN,50,59.25
10OBR ObregonNavojoa,50XUD,Jacaranda CEN,50,59.25
10OBR ObregonNavojoa,50YPO,Plano Oriente CEN,50,59.25
10OBR ObregonNavojoa,50Z24,Quiriego CEN,50,59.25
10OBR ObregonNavojoa,50ZZG,Zaragoza CEN,50,59.25
10PBI Angelopolis,5014Y,Pabellon Atlixcayotl PBF,135,159.975
10PBI Angelopolis,501K2,Priv. 139 PBF,50,59.25
10PBI Angelopolis,501N6,La Libertad PBF,360,426.6
10PBI Angelopolis,503S1,Plaza BP,360,426.6
10PBI Angelopolis,504WM,Mobil 11 PBF,100,118.5
10PBI Angelopolis,5069F,Paseo del Sur PBF,135,159.975
10PBI Angelopolis,50BLR,Belisario PBF,135,159.975
10PBI Angelopolis,50BUG,Bugambilias PBF,135,159.975
10PBI Angelopolis,50CLX,Carolino PBF,90,106.65
10PBI Angelopolis,50DRV,Dorado PBF,315,373.275
10PBI Angelopolis,50DSE,Gavilanes PBF,90,106.65
10PBI Angelopolis,50DSJ,Gas Lomas PBF,360,426.6
10PBI Angelopolis,50EOZ,Heroe de Nacozari PBF,90,106.65
10PBI Angelopolis,50EPA,Europa PBF,135,159.975
10PBI Angelopolis,50FLC,Florencia PBF,45,53.325
10PBI Angelopolis,50FXG,Molino del Rey  PBF,135,159.975
10PBI Angelopolis,50HPE,H.Upaep PBF,45,53.325
10PBI Angelopolis,50IEN,93 Oriente PBF,45,53.325
10PBI Angelopolis,50ILX,Puebla Textil PBF,45,53.325
10PBI Angelopolis,50KBC,Bicentenario PBF,45,53.325
10PBI Angelopolis,50KIA,Cristal PBF,90,106.65
10PBI Angelopolis,50KMN,Comunicaciones PBF,90,106.65
10PBI Angelopolis,50LAL,Colibris  PBF,45,53.325
10PBI Angelopolis,50LDL,Ladrillera PBF,45,53.325
10PBI Angelopolis,50MYO,5 de Mayo PBF,45,53.325
10PBI Angelopolis,50MZK,Mazarik PBF,315,373.275
10PBI Angelopolis,50PDD,Opera PBF,405,479.925
10PBI Angelopolis,50PQW,Del Parque PBF,90,106.65
10PBI Angelopolis,50PSJ,San Jose PBF,90,106.65
10PBI Angelopolis,50PXM,Especo PBF,45,53.325
10PBI Angelopolis,50QAZ,Angel Custodio PBF,135,159.975
10PBI Angelopolis,50RQH,Barcelona PBF,225,266.625
10PBI Angelopolis,50SCW,Santa Catarina PBF,135,159.975
10PBI Angelopolis,50SSC,Territorial PBF,45,53.325
10PBI Angelopolis,50TH9,Sinfonia PBF,765,906.525
10PBI Angelopolis,50TVO,Aventura  PBF,45,53.325
10PBI Angelopolis,50TYS,Los Portales PBF,45,53.325
10PBI Angelopolis,50U4D,Lomas II PBF,810,959.85
10PBI Angelopolis,50UDY,Azcarate PBF,45,53.325
10PBI Angelopolis,50UWO,Plaza W PBF,405,479.925
10PBI Angelopolis,50VIE,Villa Encantada PBF,225,266.625
10PBI Angelopolis,50WEW,Lomas Angelopolis PBF,315,373.275
10PBI Angelopolis,50X1O,5 Norte PBF,45,53.325
10PBI Angelopolis,50XCW,Contaduria PBF,135,159.975
10PBI Angelopolis,50XDB,Deportivo UPAEP PBF,90,106.65
10PBI Cholula,50123,Martinito PBF,150,177.75
10PBI Cholula,5026M,4 Caminos PBI,45,53.325
10PBI Cholula,5046Z,Danisa PBF,360,426.6
10PBI Cholula,504Y9,Acatl n Centro PBF,50,59.25
10PBI Cholula,505LX,SAN RAFAEL PBF,90,106.65
10PBI Cholula,50790,Gas Total PBF,150,177.75
10PBI Cholula,508Q5,Paso De Cortes PBF,45,53.325
10PBI Cholula,50A06,Brasil PBF,100,118.5
10PBI Cholula,50AF1,Fuertes Guadalupe PBF,405,479.925
10PBI Cholula,50AI1,Zapatero PBF,45,53.325
10PBI Cholula,50BTP,Sindicato PBF,405,479.925
10PBI Cholula,50C4V,Gas Rua PBF,50,59.25
10PBI Cholula,50CHL,Cholula PBF,315,373.275
10PBI Cholula,50COE,Alborada PBF,90,106.65
10PBI Cholula,50F3X,Cortijo PBF,300,355.5
10PBI Cholula,50FM6,Rinconada PBF,50,59.25
10PBI Cholula,50FX6,Zapata Norte PBF,180,213.3
10PBI Cholula,50GCJ,Ciudad Judicial PBF,180,213.3
10PBI Cholula,50H4X,Tauro PBF,200,237
10PBI Cholula,50HH5,Plaza Verde PBF,270,319.95
10PBI Cholula,50HTJ,Radial PBF,360,426.6
10PBI Cholula,50JPB,Juan Pablo II PBF,180,213.3
10PBI Cholula,50K5F,Xaltipan PBF,100,118.5
10PBI Cholula,50KA0,Ocotal PBF,45,53.325
10PBI Cholula,50KOG,Coronango PBF,45,53.325
10PBI Cholula,50KVL,V.de los Angeles PBF,450,533.25
10PBI Cholula,50L70,Coquixtlan PBF,50,59.25
10PBI Cholula,50MXB,Eje Poniente PBF,50,59.25
10PBI Cholula,50NLX,Morillotla  PBF,135,159.975
10PBI Cholula,50O2G,Acozautla PBF,50,59.25
10PBI Cholula,50P3Z,Calpan PBF,150,177.75
10PBI Cholula,50PCL,Santa Clara PBF,135,159.975
10PBI Cholula,50PGV,Geovillas PBF,90,106.65
10PBI Cholula,50PPC,El Cristo PBF,495,586.575
10PBI Cholula,50PXI,Plaza Guadalupe PBF,45,53.325
10PBI Cholula,50PYW,Piramide PBF,495,586.575
10PBI Cholula,50Q5H,Nealtican PBF,300,355.5
10PBI Cholula,50R58,Tlahuapan PBF,150,177.75
10PBI Cholula,50REC,La Recta PBF,675,799.875
10PBI Cholula,50S7E,Zerezotla PBF,45,53.325
10PBI Cholula,50SUP,Serviplaza PBF,270,319.95
10PBI Cholula,50TGT,Maya Norte PBF,45,53.325
10PBI Cholula,50TN1,Angel polis R PBF,300,355.5
10PBI Cholula,50UBX,Remedios PBF,135,159.975
10PBI Cholula,50UDL,UDLA PBF,180,213.3
10PBI Cholula,50UIS,Plaza San Carlos PBF,135,159.975
10PBI Cholula,50UVU,Sanctorum PBF,150,177.75
10PBI Cholula,50VL3,Yavidaxiu PBF,250,296.25
10PBI Cholula,50W6N,Primavera PBF,50,59.25
10PBI Cholula,50WQE,Centenario PBF,250,296.25
10PBI Cholula,50Y6W,Tlatempa PBF,90,106.65
10PBI Cholula,50YGO,Obsidiana PBF,150,177.75
10PBI Cholula,50YPE,Huaquechula PBF,50,59.25
10PBI Cholula,50YX9,Azteca Norte PBF,135,159.975
10PBI Cholula,50Z3F,Tehuitzingo PBF,100,118.5
10PBI Cholula,50ZHY,Zavaleta PBF,90,106.65
10PBI Cholula,50ZVL,Villa PBF,45,53.325
10PBI Tlaxcala,5009T,Centenario Norte PBF,100,118.5
10PBI Tlaxcala,500U7,Palmitas PBF,50,59.25
10PBI Tlaxcala,502LQ,Molinatla PBF,50,59.25
10PBI Tlaxcala,502YD,Tlatlauquitepec PBF,150,177.75
10PBI Tlaxcala,5037F,Tlapancalco PBF,100,118.5
10PBI Tlaxcala,503E6,Chignaulta PBF,50,59.25
10PBI Tlaxcala,503KM,La Celula PBF,150,177.75
10PBI Tlaxcala,503XB,Pintores PBF,150,177.75
10PBI Tlaxcala,505GX,Toltempan PBF,50,59.25
10PBI Tlaxcala,505OY,Salinas PBF,250,296.25
10PBI Tlaxcala,505P7,Gas Villa PBF,150,177.75
10PBI Tlaxcala,505WP,FAD PBF,50,59.25
10PBI Tlaxcala,506T4,Gabriel Segundo PBF,50,59.25
10PBI Tlaxcala,506XM,Zacapoaxtla PBF,200,237
10PBI Tlaxcala,507KX,San Luis Centro PBF,150,177.75
10PBI Tlaxcala,5080I,Santa Elena PBF,50,59.25
10PBI Tlaxcala,5083O,Gas Cuamanco PBF,150,177.75
10PBI Tlaxcala,508E7,Del Horno PBF,100,118.5
10PBI Tlaxcala,508PN,Bernal PBF,50,59.25
10PBI Tlaxcala,508TO,CIX 1 PBF,90,106.65
10PBI Tlaxcala,508X7,Indalecio PBF,50,59.25
10PBI Tlaxcala,508XR,Loligas PBF,400,474
10PBI Tlaxcala,50922,El Sueno PBF,100,118.5
10PBI Tlaxcala,5093Y,Gas la Isla PBF,50,59.25
10PBI Tlaxcala,509OI,Avila PBF,150,177.75
10PBI Tlaxcala,50A5A,Libres Centro PBF,150,177.75
10PBI Tlaxcala,50AGF,Casa Antigua PBF,500,592.5
10PBI Tlaxcala,50AGI,La Inmaculada PBF,200,237
10PBI Tlaxcala,50AWB,Alemeya PBF,100,118.5
10PBI Tlaxcala,50BHV,Ocotlan PBF,45,53.325
10PBI Tlaxcala,50C70,Odin PBF,350,414.75
10PBI Tlaxcala,50CQX,Cuapiaxtla PBF,100,118.5
10PBI Tlaxcala,50D9Z,Jalacingo PBF,100,118.5
10PBI Tlaxcala,50DOW,2 de Abril PBF,300,355.5
10PBI Tlaxcala,50E1T,Plaza Granjas PBF,50,59.25
10PBI Tlaxcala,50EFY,Tizatlan PBF,50,59.25
10PBI Tlaxcala,50EHU,Juan Escutia PBF,50,59.25
10PBI Tlaxcala,50EHZ,Ampliacion ZaragPBF,150,177.75
10PBI Tlaxcala,50EOH,Totolac PBF,50,59.25
10PBI Tlaxcala,50F1T,Chignaulingo PBF,100,118.5
10PBI Tlaxcala,50F6S,Plaza Leon PBF,150,177.75
10PBI Tlaxcala,50G4O,7 De Octubre PBF,50,59.25
10PBI Tlaxcala,50G98,Las Manzanas PBF,100,118.5
10PBI Tlaxcala,50GYG,Y PBA PBF,50,59.25
10PBI Tlaxcala,50HG7,Av Tlaxcala PBF,50,59.25
10PBI Tlaxcala,50HLA,Huamantla PBF,250,296.25
10PBI Tlaxcala,50ILW,Articulo PBC,250,296.25
10PBI Tlaxcala,50IQB,Blvd del Maestro PBF,100,118.5
10PBI Tlaxcala,50IQG,Lombardo PBF,100,118.5
10PBI Tlaxcala,50ITB,Iturbide PBF,135,159.975
10PBI Tlaxcala,50J9U,Val Quirico R PBF,50,59.25
10PBI Tlaxcala,50JDX,Chignahuapan PBF,50,59.25
10PBI Tlaxcala,50JJX,Reloj Floral PBF,50,59.25
10PBI Tlaxcala,50JW5,Candegas PBF,100,118.5
10PBI Tlaxcala,50KUM,Acuamanala PBF,50,59.25
10PBI Tlaxcala,50LM4,Gas Zacatlan PBF,50,59.25
10PBI Tlaxcala,50LZB,Teolocholco PBF,100,118.5
10PBI Tlaxcala,50M57,Xicotzingo PBF,50,59.25
10PBI Tlaxcala,50MFW,Michac PBF,50,59.25
10PBI Tlaxcala,50MQI,Maquinita PBF,100,118.5
10PBI Tlaxcala,50MRW,Mara PBF,100,118.5
10PBI Tlaxcala,50N79,Carbajal PBF,200,237
10PBI Tlaxcala,50N9V,Atlihuetzia PBF,350,414.75
10PBI Tlaxcala,50NRG,Nora PBF,45,53.325
10PBI Tlaxcala,50O3U,Ahuahuastepec PBF,150,177.75
10PBI Tlaxcala,50Q1X,Tetela Centro PBF,50,59.25
10PBI Tlaxcala,50Q4P,Expo Huamantla PBF,200,237
10PBI Tlaxcala,50Q76,Acxotla PBF,50,59.25
10PBI Tlaxcala,50Q7W,El Charrito PBF,100,118.5
10PBI Tlaxcala,50QTF,Loma Alta PBF,200,237
10PBI Tlaxcala,50RQB,Luis Cabrera PBF,150,177.75
10PBI Tlaxcala,50RQK,Apetatitlan PBF,50,59.25
10PBI Tlaxcala,50RVU,Revolucion PBF,100,118.5
10PBI Tlaxcala,50SO6,Xocual PBF,150,177.75
10PBI Tlaxcala,50T56,Gemela PBF,200,237
10PBI Tlaxcala,50TQY,Tepeyanco PBF,150,177.75
10PBI Tlaxcala,50TWL,El Tunel PBF,250,296.25
10PBI Tlaxcala,50TX0,Berriozabal PBF,150,177.75
10PBI Tlaxcala,50UAT,UAT PBF,250,296.25
10PBI Tlaxcala,50UK4,El Moral PBF,50,59.25
10PBI Tlaxcala,50UR7,Plaza 29 PBF,50,59.25
10PBI Tlaxcala,50UUR,Oriental PBF,100,118.5
10PBI Tlaxcala,50V02,Eindhoven PBF,200,237
10PBI Tlaxcala,50VH5,Gas G PBF,150,177.75
10PBI Tlaxcala,50WA6,Libramiento 13 PBF,200,237
10PBI Tlaxcala,50WKC,Arco Norte PBF,50,59.25
10PBI Tlaxcala,50WX6,Zautla PBF,50,59.25
