PLAZA,CR TIENDA,DESC_TIENDA,MONTO SIN IMPUESTOS ,MONTO CON IMPUESTOS 
10CAN Cancun,50V0Q,Hospital Kumate CUN,50,59.25
10CAN Cancun,50VCZ,Martinica CUN,100,118.5
10CAN Cancun,50VUB,Rollo CUN,50,59.25
10CAN Cancun,50VYM,Villas del Mar CUN,50,59.25
10CAN Cancun,50WYX,El Roble CUN,50,59.25
10CAN Cancun,50XEL,Xel Ha CUN,50,59.25
10CAN Cancun,50XLX,De la Vida CUN,100,118.5
10CAN Cancun,50YHA,Caracol CUN,1440,1706.4
10CAN Cancun,50YNP,Cantera CUN,45,53.325
10CAN Cancun,50YO6,Plaza Hollywood CUN,50,59.25
10CAN Cancun,50YOX,Telecom CUN,50,59.25
10CAN Cancun,50ZLW,Multiplaza CUN,50,59.25
10CAN Campeche,500DL,Paseos De Vergel CUN,50,59.25
10CAN Campeche,500KL,Gas Santa Fe Norte MID,250,296.25
10CAN Campeche,500QI,Kaniste MID,50,59.25
10CAN Campeche,500WS,Mendoza MID,50,59.25
10CAN Campeche,500Y8,Fracciorama MID,100,118.5
10CAN Campeche,5015B,Tutul Xiu MID,50,59.25
10CAN Campeche,501LD,Patricio Trueba MID,50,59.25
10CAN Campeche,501QK,Amavita MID,450,533.25
10CAN Campeche,502BZ,El Regalo MID,50,59.25
10CAN Campeche,502XH,Gas Santa Cruz MID,540,639.9
10CAN Campeche,502YB,Tecnogas CUN,50,59.25
10CAN Campeche,50336,Gas Chuina MID,100,118.5
10CAN Campeche,503GD,Fenix MID,100,118.5
10CAN Campeche,50429,Hacienda Opichen MID,50,59.25
10CAN Campeche,5046J,Allende MID,50,59.25
10CAN Campeche,504GS,Galeana MID,200,237
10CAN Campeche,5053F,Muna CUN,200,237
10CAN Campeche,505J3,Parque Central CUN,180,213.3
10CAN Campeche,505TX,Santa Teresa MID,45,53.325
10CAN Campeche,505V9,Las Nubes MID,250,296.25
10CAN Campeche,505VF,ALUX MID,50,59.25
10CAN Campeche,50631,Viva Caucel MID,100,118.5
10CAN Campeche,50676,Amigas CUN,50,59.25
10CAN Campeche,507Y0,Botanico CUN,50,59.25
10CAN Campeche,5081G,Sedena Sur MID,150,177.75
10CAN Campeche,5088O,El Valle CUN,50,59.25
10CAN Campeche,508BC,Faro Caucel CUN,250,296.25
10CAN Campeche,508JS,Gas El Porvenir MDA,200,237
10CAN Campeche,508UI,Valle Verde MID,250,296.25
10CAN Campeche,508VP,3 Poderes MID,50,59.25
10CAN Campeche,5096R,Siglo XXIII CUN,50,59.25
10CAN Campeche,509DX,Servifacil CUN,50,59.25
10CAN Campeche,509O1,San Jose MID,45,53.325
10CAN Campeche,509QO,Tekax CUN,50,59.25
