EmpleadoID,CentroTrabajoID,ComponenteID,Fecha,Monto,Comentarios,Aprobado,FechaAprobacion,Aprobador,Insercion,Cancelado_Por,Fecha_Cancelacion,Autorizado
00208016,TIE-10MXL50QZE,INCENTIVO EXTRAORDINARIO,13/06/2025,23.70,Concurso Cigarros PMI SEMANA 6,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00208016,TIE-10MXL50QZE,INCENTIVO EXTRAORDINARIO,17/06/2025,23.70,Concurso Cigarros PMI SEMANA 5,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00208016,TIE-10MXL50QZE,INCENTIVO EXTRAORDINARIO,30/06/2025,16.50,Retroactivo Incentivo SPIN,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00326922,TIE-10GUD50TAP,INCENTIVO EXTRAORDINARIO,04/06/2025,112.58,PXP CC PROVENCE SEM 7,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00326922,TIE-10GUD50TAP,INCENTIVO EXTRAORDINARIO,06/06/2025,802.87,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
00326922,TIE-10GUD50TAP,INCENTIVO EXTRAORDINARIO,07/06/2025,197.00,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
00326922,TIE-10GUD50TAP,INCENTIVO EXTRAORDINARIO,09/06/2025,94.80,Concurso PMI CC PROVENCE CatchUp SEMANA 1,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00326922,TIE-10GUD50TAP,INCENTIVO EXTRAORDINARIO,10/06/2025,142.20,CC Provence Sem 4,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00326922,TIE-10GUD50TAP,INCENTIVO EXTRAORDINARIO,13/06/2025,300.00,Concurso OXXO CEL P05-2025,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00326922,TIE-10GUD50TAP,INCENTIVO EXTRAORDINARIO,14/06/2025,71.10,Concurso Cigarros PMI SEMANA 6,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00326922,TIE-10GUD50TAP,INCENTIVO EXTRAORDINARIO,15/06/2025,47.40,Concurso Cigarros PMI SEMANA 5,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00326922,TIE-10GUD50TAP,INCENTIVO EXTRAORDINARIO,16/06/2025,237.00,Concurso PMI Ola 2 Semana 3 - CCs Provence,SI,30/06/2025,INTERFAZE,30/06/2025,,,
00326922,TIE-10GUD50TAP,INCENTIVO EXTRAORDINARIO,17/06/2025,14.00,Retroactivo Incentivo SPIN,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00326922,TIE-10GUD50TAP,INCENTIVO EXTRAORDINARIO,21/06/2025,1000.00,Concurso Reto premia servicios y telefonia,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00370165,TIE-10DCU50UAN,INCENTIVO EXTRAORDINARIO,06/06/2025,182.76,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
00370165,TIE-10DCU50UAN,INCENTIVO EXTRAORDINARIO,07/06/2025,204.00,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
00370348,TIE-10MON50SL2,INCENTIVO EXTRAORDINARIO,06/06/2025,261.91,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
00370348,TIE-10MON50SL2,INCENTIVO EXTRAORDINARIO,07/06/2025,168.00,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
00370348,TIE-10MON50SL2,INCENTIVO EXTRAORDINARIO,16/06/2025,17.78,Concurso Cigarros PMI SEMANA 6,SI,30/06/2025,INTERFAZE,30/06/2025,,,
00370348,TIE-10MON50SL2,INCENTIVO EXTRAORDINARIO,17/06/2025,3.00,Retroactivo Incentivo SPIN,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00370348,TIE-10MON50SL2,INCENTIVO EXTRAORDINARIO,28/06/2025,23.70,Booster TEREA PROVENCE Sem 5,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00370348,TIE-10MON50SL2,INCENTIVO EXTRAORDINARIO,29/06/2025,71.10,Booster TEREA GLACIER SEM 7,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00370348,TIE-10MON50SL2,INCENTIVO EXTRAORDINARIO,30/06/2025,59.25,Contingencia ZYN SEM 6,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00595392,TIE-10LGA50FKU,INCENTIVO EXTRAORDINARIO,04/06/2025,314.03,Contingencia ZYN SEM 6,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00595392,TIE-10LGA50FKU,INCENTIVO EXTRAORDINARIO,06/06/2025,321.46,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
00595392,TIE-10LGA50FKU,INCENTIVO EXTRAORDINARIO,07/06/2025,465.50,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
00595392,TIE-10LGA50FKU,INCENTIVO EXTRAORDINARIO,16/06/2025,59.25,Concurso Cigarros PMI SEMANA 6,SI,30/06/2025,INTERFAZE,30/06/2025,,,
00595392,TIE-10LGA50FKU,INCENTIVO EXTRAORDINARIO,17/06/2025,15.00,Retroactivo Incentivo SPIN,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00595392,TIE-10LGA50FKU,INCENTIVO EXTRAORDINARIO,28/06/2025,118.50,Mec+ínica FOTO OPEN Sem 7,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00595392,TIE-10LGA50FKU,INCENTIVO EXTRAORDINARIO,29/06/2025,59.25,Mec+ínica FOTO +ëxito Sem 8,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00595705,TIE-10PCK50M2G,INCENTIVO EXTRAORDINARIO,06/06/2025,0.50,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
00595705,TIE-10PCK50M2G,INCENTIVO EXTRAORDINARIO,07/06/2025,193.50,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
00718413,TIE-10QRI50BNH,INCENTIVO EXTRAORDINARIO,06/06/2025,356.82,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
00718413,TIE-10QRI50BNH,INCENTIVO EXTRAORDINARIO,07/06/2025,279.50,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
01014474,TIE-10PCK50QYR,INCENTIVO EXTRAORDINARIO,06/06/2025,47.00,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
01014474,TIE-10PCK50QYR,INCENTIVO EXTRAORDINARIO,07/06/2025,1114.00,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
01014474,TIE-10PCK50QYR,INCENTIVO EXTRAORDINARIO,08/06/2025,71.10,Booster TEREA GLACIER Sem 5,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01014474,TIE-10PCK50QYR,INCENTIVO EXTRAORDINARIO,09/06/2025,142.20,Booster TEREA GLACIER SEM 6,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01014474,TIE-10PCK50QYR,INCENTIVO EXTRAORDINARIO,17/06/2025,22.00,Retroactivo Incentivo SPIN,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01014474,TIE-10PCK50QYR,INCENTIVO EXTRAORDINARIO,21/06/2025,1000.00,Concurso reto mas tarjetas MAYO,SI,27/06/2025,INTERFAZE,27/06/2025,,,
