Tienda,CR Tienda,Plaza.,CR Plaza,CERVEZA
Male CUN,50KW4,10CAN Cancun,10CAN,2
Leo CUN,50LOH,10CAN Cancun,10CAN,2
Pakal CUN,50LPZ,10CAN Cancun,10CAN,2
Del Sol CUN,50LSO,10CAN Cancun,10CAN,2
Noventa y Nueve CUN,50MTO,10CAN Cancun,10CAN,2
Lazaro Cardenas CUN,50N17,10CAN Cancun,10CAN,2
Lombardo  CUN,50N57,10CAN Cancun,10CAN,2
Acanceh CUN,50NAH,10CAN Cancun,10CAN,2
Barrio Maya II CUN,50NBM,10CAN Cancun,10CAN,2
Barrio Maya CUN,50NNB,10CAN Cancun,10CAN,2
Dadys CUN,50NND,10CAN Cancun,10CAN,2
El Quetzal CUN,50NNQ,10CAN Cancun,10CAN,2
Ruta 5 CUN,50NNR,10CAN Cancun,10CAN,2
Xpuhil Norte CUN,50NNX,10CAN Cancun,10CAN,2
Puerto Juarez CUN,50NPJ,10CAN Cancun,10CAN,2
Ruta 7 CUN,50NRS,10CAN Cancun,10CAN,2
Tierra Maya CUN,50NTM,10CAN Cancun,10CAN,2
Centenario NorteCUN,50NZY,10CAN Cancun,10CAN,2
Gas Kabah CUN,50O4I,10CAN Cancun,10CAN,2
Estrella del Mar CUN,50OFQ,10CAN Cancun,10CAN,2
Islas II CUN,50OIX,10CAN Cancun,10CAN,2
Yalmakan CUN,50PCN,10CAN Cancun,10CAN,2
Gladiolas CUN,50PCT,10CAN Cancun,10CAN,2
Plaza CUN,50PKZ,10CAN Cancun,10CAN,2
Pino CUN,50PYT,10CAN Cancun,10CAN,2
Villa Otoch II CUN,50QCX,10CAN Cancun,10CAN,2
Morelos CUN,50QGX,10CAN Cancun,10CAN,2
Batallon CUN,50QIW,10CAN Cancun,10CAN,2
Mirador CUN,50QKM,10CAN Cancun,10CAN,2
Monaco CUN,50QXM,10CAN Cancun,10CAN,2
Tomi CUN,50R0G,10CAN Cancun,10CAN,2
Paraiso CUN,50RAI,10CAN Cancun,10CAN,2
Industrial CUN,50RJE,10CAN Cancun,10CAN,2
Sacbe CUN,50RM3,10CAN Cancun,10CAN,2
Nichupte CUN,50SIF,10CAN Cancun,10CAN,2
Sunyaxchen CUN,50SYQ,10CAN Cancun,10CAN,2
KAYBAL CUN,50TKP,10CAN Cancun,10CAN,2
Tulum II CUN,50TUM,10CAN Cancun,10CAN,2
Grillos CUN,50UBT,10CAN Cancun,10CAN,2
Isla Centro CUN,50ULG,10CAN Cancun,10CAN,2
Tucan CUN,50UMH,10CAN Cancun,10CAN,2
Yaakun CUN,50UPW,10CAN Cancun,10CAN,2
ADO CUN,50UX0,10CAN Cancun,10CAN,2
Uxmal CUN,50UXA,10CAN Cancun,10CAN,2
Hospital Kumate CUN,50V0Q,10CAN Cancun,10CAN,2
Martinica CUN,50VCZ,10CAN Cancun,10CAN,2
Rollo CUN,50VUB,10CAN Cancun,10CAN,2
Villas del Mar CUN,50VYM,10CAN Cancun,10CAN,2
El Roble CUN,50WYX,10CAN Cancun,10CAN,2
Xel Ha CUN,50XEL,10CAN Cancun,10CAN,2
De la Vida CUN,50XLX,10CAN Cancun,10CAN,2
Caracol CUN,50YHA,10CAN Cancun,10CAN,2
Cantera CUN,50YNP,10CAN Cancun,10CAN,2
Plaza Hollywood CUN,50YO6,10CAN Cancun,10CAN,2
Telecom CUN,50YOX,10CAN Cancun,10CAN,2
Multiplaza CUN,50ZLW,10CAN Cancun,10CAN,2
Paseos De Vergel CUN,500DL,10CAN Campeche,10CAN,2
Gas Santa Fe Norte MID,500KL,10CAN Campeche,10CAN,2
Kaniste MID,500QI,10CAN Campeche,10CAN,2
Mendoza MID,500WS,10CAN Campeche,10CAN,2
Fracciorama MID,500Y8,10CAN Campeche,10CAN,2
Tutul Xiu MID,5015B,10CAN Campeche,10CAN,2
Patricio Trueba MID,501LD,10CAN Campeche,10CAN,2
Amavita MID,501QK,10CAN Campeche,10CAN,2
El Regalo MID,502BZ,10CAN Campeche,10CAN,2
Gas Santa Cruz MID,502XH,10CAN Campeche,10CAN,2
Tecnogas CUN,502YB,10CAN Campeche,10CAN,2
Gas Chuina MID,50336,10CAN Campeche,10CAN,2
Fenix MID,503GD,10CAN Campeche,10CAN,2
Hacienda Opichen MID,50429,10CAN Campeche,10CAN,2
Allende MID,5046J,10CAN Campeche,10CAN,2
Galeana MID,504GS,10CAN Campeche,10CAN,2
Muna CUN,5053F,10CAN Campeche,10CAN,2
Parque Central CUN,505J3,10CAN Campeche,10CAN,2
Santa Teresa MID,505TX,10CAN Campeche,10CAN,2
Las Nubes MID,505V9,10CAN Campeche,10CAN,2
ALUX MID,505VF,10CAN Campeche,10CAN,2
Viva Caucel MID,50631,10CAN Campeche,10CAN,2
Amigas CUN,50676,10CAN Campeche,10CAN,2
Botanico CUN,507Y0,10CAN Campeche,10CAN,2
Sedena Sur MID,5081G,10CAN Campeche,10CAN,2
El Valle CUN,5088O,10CAN Campeche,10CAN,2
Faro Caucel CUN,508BC,10CAN Campeche,10CAN,2
Gas El Porvenir MDA,508JS,10CAN Campeche,10CAN,2
Valle Verde MID,508UI,10CAN Campeche,10CAN,2
3 Poderes MID,508VP,10CAN Campeche,10CAN,2
Siglo XXIII CUN,5096R,10CAN Campeche,10CAN,2
Servifacil CUN,509DX,10CAN Campeche,10CAN,2
San Jose MID,509O1,10CAN Campeche,10CAN,2
Tekax CUN,509QO,10CAN Campeche,10CAN,2
Cipres MID,509Y9,10CAN Campeche,10CAN,2
San Vicente MID,50ABB,10CAN Campeche,10CAN,2
Aviacion MID,50AIV,10CAN Campeche,10CAN,2
Aviacion II,50AVJ,10CAN Campeche,10CAN,2
Paseos de Opichen MID,50AX0,10CAN Campeche,10CAN,2
Resurgimiento MID,50BWV,10CAN Campeche,10CAN,2
Chembech MID,50CXH,10CAN Campeche,10CAN,2
Hecelchakan MID,50D8T,10CAN Campeche,10CAN,2
Paraiso Caucel MID,50DSF,10CAN Campeche,10CAN,2
86 Sur CUN,50E5A,10CAN Campeche,10CAN,2
Justo Sierra Mid,50E84,10CAN Campeche,10CAN,2
Vizcaya CUN,50EJ8,10CAN Campeche,10CAN,2
Cardenales MID,50ET8,10CAN Campeche,10CAN,2
Ticuleno MID,50F1V,10CAN Campeche,10CAN,2
Las Flores MID,50FFX,10CAN Campeche,10CAN,2
Laureles MID,50FGR,10CAN Campeche,10CAN,2
San Felipe MID,50FHU,10CAN Campeche,10CAN,2
La Diana MID,50FIV,10CAN Campeche,10CAN,2
Morelos MID,50FN5,10CAN Campeche,10CAN,2
Baja Velocidad CUN,50FS2,10CAN Campeche,10CAN,2
Fuerza Aerea MID,50FYE,10CAN Campeche,10CAN,2
Madero MID,50FZN,10CAN Campeche,10CAN,2
Lucas de Galvez MID,50FZX,10CAN Campeche,10CAN,2
Zapata 86 MID,50GH7,10CAN Campeche,10CAN,2
Neptuno MID,50GJY,10CAN Campeche,10CAN,2
Anikabil MID,50GKU,10CAN Campeche,10CAN,2
Los Olivos MID,50H8W,10CAN Campeche,10CAN,2
IMSS Caucel CUN,50I3K,10CAN Campeche,10CAN,2
Calkini MID,50I6R,10CAN Campeche,10CAN,2
Tenabo MID,50IAI,10CAN Campeche,10CAN,2
